SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
IDFC,EQ,52.45,52.9,51.95,52.7,52.7,52.4,2284274,119993479.4,06-APR-2018,5097,INE043D01016
IDFCBANK,EQ,49.75,50.05,49.3,49.85,49.9,49.5,6249655,311384068.45,06-APR-2018,17318,INE092T01019
IGL,EQ,290.3,297.9,290.25,296.65,296.45,289.85,2316307,684812254.95,06-APR-2018,31095,INE203G01027
INDIACEM,EQ,154.95,154.95,150.6,152.7,152.35,155.45,2644083,402679886.2,06-APR-2018,15012,INE383A01012
INDIANB,EQ,321,323,313.55,320.75,319.45,317.3,1750664,558859689.35,06-APR-2018,19198,INE562A01011
INDIGO,EQ,1446.7,1470.6,1413.75,1458.5,1458,1448.85,924678,1341385027.4,06-APR-2018,39717,INE646L01027
INDUSINDBK,EQ,1837.9,1838.95,1814,1824.15,1828.95,1836.95,498517,909556581.2,06-APR-2018,23165,INE095A01012
INFIBEAM,EQ,164.25,168.5,161.4,166.95,166.5,163.4,4319976,714388721.25,06-APR-2018,65567,INE483S01020
INFRATEL,EQ,338,342.85,335.35,338,338,338.05,5575268,1888711983.55,06-APR-2018,57670,INE121J01017
INFY,EQ,1143,1146,1122.1,1127,1127.55,1147.55,2968871,3351285043.15,06-APR-2018,137277,INE009A01021
IOC,EQ,176,176.75,173.6,174.25,174.2,173.55,7938351,1387971422.05,06-APR-2018,51384,INE242A01010
IRB,EQ,242.9,246.7,237.8,244.4,243.8,241.15,1714021,414650175.4,06-APR-2018,13321,INE821I01014
ITC,EQ,260.5,262,260.05,260.85,261,259.65,6098959,1592218442.2,06-APR-2018,51328,INE154A01025
IBULHSGFIN,EQ,1335.2,1382,1331.5,1345.85,1332,1348.4,1270725,1728324481.55,09-APR-2018,53589,INE148I01020
ICICIBANK,EQ,277.75,283.45,274.35,280.85,281,280.65,31712527,8852647513.15,09-APR-2018,187201,INE090A01021
ICICIPRULI,EQ,400.7,404.8,398.35,400.65,401.75,400.9,304940,122339170.3,09-APR-2018,7519,INE726G01019
IDBI,EQ,73.5,74.65,72.7,73.7,73.35,73.1,30279353,2234125572.1,09-APR-2018,47320,INE008A01015
IDEA,EQ,74.5,75.35,73.55,74.85,74.6,74.95,9921854,739757587,09-APR-2018,52212,INE669E01016
IDFC,EQ,53.2,53.45,52.5,52.75,52.55,52.7,3996147,211431407.85,09-APR-2018,7336,INE043D01016
IDFCBANK,EQ,50.15,51.05,49.95,50.35,50.4,49.85,7027612,355156959.85,09-APR-2018,21341,INE092T01019
IGL,EQ,299.85,304.8,299,303.5,303.9,296.65,1933870,586510386.35,09-APR-2018,28384,INE203G01027
INDIACEM,EQ,153.85,154.8,150.3,151.2,150.85,152.7,2803090,426740131.25,09-APR-2018,20988,INE383A01012
INDIANB,EQ,320,326.05,317.8,322,322,320.75,1324329,427519265.95,09-APR-2018,18668,INE562A01011
INDIGO,EQ,1450,1509,1445.25,1493.15,1498,1458.5,1104860,1620401609.1,09-APR-2018,27964,INE646L01027
INDUSINDBK,EQ,1829.9,1869.2,1826.2,1860.1,1860.1,1824.15,1148635,2135575198.05,09-APR-2018,54319,INE095A01012
INFIBEAM,EQ,166.95,169,165.25,166.75,167.4,166.95,3308531,554571517.75,09-APR-2018,27862,INE483S01020
INFRATEL,EQ,338,340.2,336.25,337.2,338.2,338,5696918,1926167423.35,09-APR-2018,54266,INE121J01017
INFY,EQ,1125,1125.8,1106.55,1111.25,1111.45,1127,3601441,4008832076.5,09-APR-2018,171118,INE009A01021
IOC,EQ,175,180.95,174.6,179.8,179.75,174.25,12237671,2193592458.35,09-APR-2018,78745,INE242A01010
IRB,EQ,243.55,250.3,239.75,248.45,249.05,244.4,3546995,865617974.1,09-APR-2018,24176,INE821I01014
ITC,EQ,261.15,266.6,260.9,265.8,265.7,260.85,9217475,2439369319.7,09-APR-2018,65447,INE154A01025
IBULHSGFIN,EQ,1339,1358.1,1316.75,1324.55,1324,1345.85,1100878,1469403571.25,10-APR-2018,57875,INE148I01020
ICICIBANK,EQ,279.45,294.45,279.05,288.8,288.7,280.85,44741783,12943353665.5,10-APR-2018,306745,INE090A01021
ICICIPRULI,EQ,401.8,402.5,392.7,395.35,395.9,400.65,416608,164888248.55,10-APR-2018,9682,INE726G01019
IDBI,EQ,74.8,74.85,73.3,74.15,73.8,73.7,21035815,1556942912.9,10-APR-2018,36214,INE008A01015
IDEA,EQ,75.2,75.5,73.55,73.95,73.9,74.85,9517704,705152383.6,10-APR-2018,37818,INE669E01016
IDFC,EQ,53,53,51.95,52.55,52.5,52.75,1620798,85144759.45,10-APR-2018,5234,INE043D01016
IDFCBANK,EQ,50.65,50.65,49.15,49.6,49.55,50.35,6534470,325138226.75,10-APR-2018,19418,INE092T01019
IGL,EQ,305,307.2,294,296.05,295.55,303.5,2147373,643696977.15,10-APR-2018,24216,INE203G01027
INDIACEM,EQ,151.8,152.4,149.35,151.55,151.15,151.2,3859017,582885497.15,10-APR-2018,15364,INE383A01012
INDIANB,EQ,325.2,327.4,321,324.05,322.8,322,909288,294880934.9,10-APR-2018,11525,INE562A01011
INDIGO,EQ,1492.05,1504.5,1473.2,1479.8,1478.4,1493.15,828451,1230644802.2,10-APR-2018,31393,INE646L01027
INDUSINDBK,EQ,1865,1870,1845,1847.95,1848,1860.1,610933,1132763893.8,10-APR-2018,30475,INE095A01012
INFIBEAM,EQ,167.3,170.7,165.25,167.65,167.8,166.75,4730408,788595152.75,10-APR-2018,39643,INE483S01020
INFRATEL,EQ,339,341,332.1,335.45,336.05,337.2,3470927,1170229755.65,10-APR-2018,44990,INE121J01017
INFY,EQ,1112,1124.5,1105.4,1113.4,1114.65,1111.25,4463029,4979728694.75,10-APR-2018,144468,INE009A01021
IOC,EQ,181.3,181.3,177,179.3,179.05,179.8,5146627,920395290.3,10-APR-2018,38432,INE242A01010
IRB,EQ,250.4,258,245,254.95,257.95,248.45,2419591,607847357.95,10-APR-2018,21529,INE821I01014
ITC,EQ,266.35,268.7,265.1,266.7,266.55,265.8,14682547,3914986494.15,10-APR-2018,104111,INE154A01025
IBULHSGFIN,EQ,1332.85,1337.4,1305.65,1312.3,1312,1324.55,677153,890980563.9,11-APR-2018,22133,INE148I01020
ICICIBANK,EQ,287.75,287.9,282.35,284.55,285.3,288.8,16811454,4788332199.2,11-APR-2018,92529,INE090A01021
ICICIPRULI,EQ,396,404,394,399.9,400.75,395.35,728886,291675683.3,11-APR-2018,20003,INE726G01019
IDBI,EQ,74,74.1,71.3,72.1,72,74.15,17962578,1301523442.9,11-APR-2018,33321,INE008A01015
IDEA,EQ,74,75.2,73.55,73.95,73.7,73.95,7555677,561818768.45,11-APR-2018,24540,INE669E01016
IDFC,EQ,52.6,52.9,51.6,52.75,52.55,52.55,3494167,183189516.65,11-APR-2018,7314,INE043D01016
IDFCBANK,EQ,49.8,49.8,48.75,49.4,49.25,49.6,5119336,252122097.3,11-APR-2018,13199,INE092T01019
IGL,EQ,296.5,299,292,294.7,294.8,296.05,1189525,351685504.6,11-APR-2018,16122,INE203G01027
INDIACEM,EQ,151,151,147.3,148.55,148.15,151.55,2726505,405494230.15,11-APR-2018,18617,INE383A01012
INDIANB,EQ,323,324.6,316.4,319.1,318,324.05,789777,252295973.75,11-APR-2018,8502,INE562A01011
INDIGO,EQ,1475,1493.6,1428.05,1482.9,1485,1479.8,1203643,1756617682.15,11-APR-2018,33037,INE646L01027
INDUSINDBK,EQ,1850,1860.1,1838.05,1855.75,1857.2,1847.95,470440,869947587.7,11-APR-2018,31440,INE095A01012
INFIBEAM,EQ,168.25,172.4,166.1,171.25,171.1,167.65,3941891,666322092.85,11-APR-2018,52215,INE483S01020
