"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9500","865.6","879.95","842","849.4","850","849.4","480","3728.52","308.52","715425","3450","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9550","0","0","0","589.8","0","830.25","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9600","770.25","781.2","747.3","754.55","755.6","754.55","429","3334.81","246.01","340950","-23025","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9650","0","0","0","515.3","0","732","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9700","677.2","687.4","654","660.75","661.15","660.75","166","1290.65","83","302400","-2775","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9750","0","0","0","523","523","635.1","0","0","0","225","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","9800","577.75","595.2","559","566.25","566.45","566.25","515","4008.09","222.84","497250","-3750","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8250","2080","2095.5","2076.25","2076.9","2078.15","2076.9","27","209.17","42.1","52875","2025","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8300","2037.8","2066.5","2024.05","2031.45","2028.05","2031.45","309","2398.85","475.32","1565325","-20175","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8350","0","0","0","1617.1","0","2022.3","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8400","1935.1","1945.65","1935.1","1945","1945","1945","11","85.32","16.02","205350","225","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8450","0","0","0","1599.85","0","1922.9","0","0","0","0","0","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8500","1849","1861.45","1825.05","1832.2","1832","1832.2","550","4265.67","759.42","835125","-1950","10323.05"
"NIFTY","27-Oct-2017","30-Nov-2017","CE","8550","0","0","0","1501.9","0","1823.5","0","0","0","0","0","10323.05"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","8600","1768","1771.3","1768","1771","1771","1771","4","31.11","5.31","57225","-75","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","8650","0","0","0","1404.3","0","1760.35","0","0","0","0","0","10363.65"
