"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","22-May-2017","25-May-2017","CE","9700","1.45","1.45","0.5","0.55","0.65","0.55","82532","600470.51","50.21","2222325","56175","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","9750","1.05","1.05","0.5","0.6","0.6","0.6","2502","18297.03","1.15","304500","-7425","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","9800","0.4","0.5","0.35","0.45","0.35","0.45","9478","69666.28","2.98","871200","-28575","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","9850","0.6","0.6","0.15","0.25","0.25","0.25","43","317.68",".02","12375","2175","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","9900","0.4","0.4","0.2","0.3","0.35","0.3","1543","11457.11",".33","469425","-58950","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","9950","0.6","0.6","0.25","0.25","0.25","0.25","67","500.01",".02","29475","2100","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","10000","0.45","0.45","0.25","0.3","0.25","0.3","2438","18285.51",".51","1241850","-28275","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","10050","0","0","0","13.95","13.95","0","0","0","0","0","0","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","10100","0.35","0.4","0.3","0.35","0.35","0.35","6888","52178.44","1.84","34800","-9900","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","10150","0","0","0","5.2","0","0","0","0","0","0","0","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","10200","0.25","0.3","0.2","0.2","0.2","0.2","20","153","0","14025","-1275","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","10250","0","0","0","3.25","0","0","0","0","0","0","0","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","10300","0.05","0.05","0.05","0.05","0.05","0.05","1","7.73","0","15075","75","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","10350","0","0","0","0.7","0.7","0","0","0","0","75","0","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","10400","0","0","0","1","1","0","0","0","0","225","0","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","10450","0","0","0","0.55","0.55","0","0","0","0","0","0","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","10500","0.3","0.3","0.15","0.15","0.15","0.15","249","1960.91",".04","410475","-14625","9438.25"
"NIFTY","22-May-2017","25-May-2017","CE","10550","0","0","0","0.4","0.4","0","0","0","0","0","0","9438.25"
"NIFTY","23-May-2017","25-May-2017","CE","10600","1","1","0.05","0.05","0.05","0.05","73","580.38",".03","1350","675","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","10650","0","0","0","0.8","0","0","0","0","0","0","0","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","10700","1","1","1","1","1","1","4","32.1","0","600","-300","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","10750","0","0","0","0.05","0","0","0","0","0","0","0","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","10800","1","1","0.05","0.05","0.05","0.05","14","113.41",".01","750","-75","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","10850","0.05","0.05","0.05","0.05","0.05","0.05","12","97.65","0","375","-900","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","10900","0","0","0","0.05","0","0","0","0","0","0","0","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","10950","0","0","0","0.05","0","0","0","0","0","0","0","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","11000","0","0","0","0.05","0","0","0","0","0","0","0","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","11050","0","0","0","0.05","0","0","0","0","0","0","0","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","7400","2020","2037","1960.25","1986.65","1986","1986.65","1592","11228.02","2392.42","252975","-116175","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","7450","0","0","0","1606.45","0","1938.8","0","0","0","0","0","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","7500","1944.5","1944.5","1865.6","1881.95","1887","1881.95","4226","29778.29","6007.04","624750","-294600","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","7550","0","0","0","1508.05","0","1838.85","0","0","0","0","0","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","7600","1784.75","1827.6","1784.75","1794.55","1794.55","1794.55","116","818.21","157.01","33750","-7950","9386.15"
"NIFTY","23-May-2017","25-May-2017","CE","7650","0","0","0","1409.75","0","1738.85","0","0","0","0","0","9386.15"
